X_param,Y
"(12, 0)","[0.000123278087, 0.145200562]"
"(12, 1)","[0.00012328, 0.04014114]"
"(12, 2)","[0.00044593, 0.04014114]"
"(12, 3)","[0.000123278087, 0.145200562]"
"(12, 4)","[0.00012328, 0.02110573]"
"(12, 5)","[0.00161303, 0.14520056]"
"(12, 6)","[0.02110573, 0.14520056]"
"(12, 7)","[0.00023446, 0.04014114]"
"(12, 8)","[0.000123278087, 0.145200562]"
"(12, 9)","[0.00044593, 0.14520056]"
"(12, 10)","[0.00161303, 0.04014114]"
"(12, 11)","[0.00044593, 0.02110573]"
"(12, 12)","[0.00161303, 0.14520056]"
"(12, 13)","[0.00084811, 0.02110573]"
"(12, 14)","[0.000123278087, 0.145200562]"
"(12, 15)","[0.00023446, 0.07634472]"
"(12, 16)","[0.00161303, 0.07634472]"
"(12, 17)","[0.00044593, 0.04014114]"
"(12, 18)","[0.00023446, 0.07634472]"
"(12, 19)","[0.00012328, 0.07634472]"
"(12, 20)","[0.00044593, 0.07634472]"
"(12, 21)","[0.00161303, 0.02110573]"
"(12, 22)","[0.00161303, 0.07634472]"
"(12, 23)","[0.00161303, 0.02110573]"
"(12, 24)","[0.00084811, 0.02110573]"
"(12, 25)","[0.00023446, 0.14520056]"
"(12, 26)","[0.00012328, 0.02110573]"
"(12, 27)","[0.00084811, 0.02110573]"
"(12, 28)","[0.00012328, 0.02110573]"
"(12, 29)","[0.00023446, 0.14520056]"
"(12, 30)","[0.00044593, 0.14520056]"
"(12, 31)","[0.00161303, 0.14520056]"
"(12, 32)","[0.00012328, 0.07634472]"
"(12, 33)","[0.01109714, 0.14520056]"
"(12, 34)","[0.00084811, 0.02110573]"
"(12, 35)","[0.00044593, 0.14520056]"
"(12, 36)","[0.00012328, 0.00161303]"
"(12, 37)","[0.00023446, 0.02110573]"
"(12, 38)","[0.00084811, 0.02110573]"
"(12, 39)","[0.00161303, 0.14520056]"
"(12, 40)","[0.00084811, 0.02110573]"
"(12, 41)","[0.00084811, 0.07634472]"
"(12, 42)","[0.00012328, 0.04014114]"
"(12, 43)","[0.00306784, 0.02110573]"
"(12, 44)","[0.00012328, 0.02110573]"
"(13, 0)","[0.00012328, 0.00012328]"
"(13, 1)","[0.00012328, 0.00012328]"
"(13, 2)","[0.00012328, 0.00012328]"
"(13, 3)","[0.00012328, 0.00012328]"
"(13, 4)","[0.00012328, 0.00012328]"
"(13, 5)","[0.00012328, 0.00012328]"
"(13, 6)","[0.00012328, 0.00012328]"
"(13, 7)","[0.00012328, 0.00012328]"
"(13, 8)","[0.00012328, 0.00012328]"
"(13, 9)","[0.00012328, 0.00012328]"
"(13, 10)","[0.00012328, 0.00012328]"
"(13, 11)","[0.00012328, 0.00012328]"
"(13, 12)","[0.00012328, 0.00012328]"
"(13, 13)","[0.00012328, 0.00012328]"
"(13, 14)","[0.00012328, 0.00012328]"
"(13, 15)","[0.00012328, 0.00012328]"
"(13, 16)","[0.00012328, 0.00012328]"
"(13, 17)","[0.00012328, 0.00012328]"
"(13, 18)","[0.00012328, 0.00012328]"
"(13, 19)","[0.00012328, 0.00012328]"
"(13, 20)","[0.00012328, 0.00012328]"
"(13, 21)","[0.00012328, 0.00012328]"
"(13, 22)","[0.00012328, 0.00012328]"
"(13, 23)","[0.00012328, 0.00012328]"
"(13, 24)","[0.00012328, 0.00012328]"
"(13, 25)","[0.00012328, 0.00012328]"
"(13, 26)","[0.00012328, 0.00012328]"
"(13, 27)","[0.00012328, 0.00012328]"
"(13, 28)","[0.00012328, 0.00012328]"
"(13, 29)","[0.00012328, 0.00012328]"
"(13, 30)","[0.00012328, 0.00012328]"
"(13, 31)","[0.00012328, 0.00012328]"
"(13, 32)","[0.00012328, 0.00012328]"
"(13, 33)","[0.00012328, 0.00012328]"
"(13, 34)","[0.00012328, 0.00012328]"
"(13, 35)","[0.00012328, 0.00012328]"
"(13, 36)","[0.00012328, 0.00012328]"
"(13, 37)","[0.00012328, 0.00012328]"
"(13, 38)","[0.00012328, 0.00012328]"
"(13, 39)","[0.00012328, 0.00012328]"
"(13, 40)","[0.00012328, 0.00012328]"
